ID,CW,c1,ST_c1_Mean,ST_c1_SD,Obs_c1,c2,ST_c2_Mean,ST_c2_SD,Obs_c2,ST_Juhasz,Mandera_c1,Mandera_c2
1,aboveground,above,5.097,1.375,31,ground,4.167,1.621,30,6.20,0.783,0.779
2,adulthood,adult,5.613,1.334,31,hood,1.594,0.890,32,NA,0.581,0.899
3,afterbirth,after,3.594,1.898,32,birth,4.065,1.750,31,NA,0.682,0.609
4,aftercare,after,3.484,1.913,31,care,4.333,1.768,30,NA,0.844,0.778
5,aftereffect,after,4.258,1.505,31,effect,4.719,1.704,32,NA,0.817,0.589
6,afterglow,after,4.097,1.720,31,glow,4.033,1.712,30,NA,0.803,0.545
7,afterlife,after,3.563,1.900,32,life,4.097,1.777,31,NA,0.766,0.685
8,aftermath,after,4.194,1.662,31,math,1.781,1.431,32,NA,0.705,0.999
9,afternoon,after,3.313,1.991,32,noon,5.793,1.590,29,NA,0.608,0.439
10,aftershave,after,3.625,1.845,32,shave,4.433,2.029,30,NA,0.863,0.636
11,aftertaste,after,4.355,1.704,31,taste,4.633,1.564,30,NA,0.879,0.496
12,afterthought,after,3.871,1.857,31,thought,4.594,1.651,32,NA,0.972,0.800
13,airbase,air,4.094,1.802,32,base,3.800,1.648,30,4.27,0.758,0.636
14,airbed,air,4.065,1.692,31,bed,4.367,1.402,30,NA,0.890,0.661
15,airborne,air,4.750,1.685,32,borne,3.467,1.613,30,3.86,0.654,0.762
16,airbrake,air,2.839,1.393,31,brake,3.750,2.065,32,NA,NA,NA
17,airbus,air,3.903,1.720,31,bus,3.300,1.915,30,NA,NA,NA
18,aircraft,air,4.969,1.555,32,craft,3.733,1.649,30,4.53,0.654,0.593
19,aircrew,air,4.375,1.792,32,crew,4.875,1.535,32,NA,0.725,0.644
20,aircushion,air,3.935,1.711,31,cushion,4.250,1.843,32,NA,NA,NA
21,airdrop,air,4.094,2.053,32,drop,3.467,1.814,30,NA,0.770,0.864
22,airfield,air,3.938,1.900,32,field,4.267,1.639,30,4.33,0.764,0.763
23,airflow,air,4.438,1.813,32,flow,4.194,1.721,31,6.00,0.668,0.647
24,airforce,air,4.742,1.807,31,force,3.355,1.704,31,NA,0.669,0.670
25,airframe,air,3.452,1.609,31,frame,3.567,1.716,30,NA,0.733,0.909
26,airlift,air,3.719,1.782,32,lift,4.313,1.716,32,5.33,0.636,0.815
27,airline,air,4.625,1.879,32,line,2.633,1.497,30,3.07,0.751,0.806
28,airlock,air,3.750,2.140,32,lock,3.938,2.121,32,NA,0.739,0.596
29,airmail,air,4.406,1.932,32,mail,5.219,1.483,32,5.40,0.817,0.584
30,airpark,air,3.156,1.986,32,park,3.484,1.630,31,NA,0.812,0.755
31,airplane,air,4.871,1.688,31,plane,6.531,0.769,32,5.73,0.646,0.374
32,airport,air,4.031,1.942,32,port,3.767,2.063,30,4.21,0.745,0.726
33,airshaft,air,4.406,1.521,32,shaft,3.633,1.520,30,NA,0.733,0.627
34,airship,air,4.469,1.704,32,ship,4.000,1.633,31,NA,0.712,0.574
35,airsick,air,3.903,1.955,31,sick,4.563,1.815,32,4.42,0.671,0.643
36,airspace,air,5.063,1.759,32,space,3.900,1.605,30,5.54,0.636,0.757
37,airspeed,air,4.313,1.839,32,speed,3.966,1.861,29,NA,0.731,0.542
38,airstrip,air,3.742,1.712,31,strip,3.281,1.780,32,3.62,0.741,0.857
39,airtight,air,3.935,2.048,31,tight,4.034,1.523,29,5.00,0.756,0.743
40,airway,air,4.656,1.877,32,way,3.633,1.903,30,NA,0.734,0.792
41,alehouse,ale,3.250,1.814,32,house,2.897,1.372,29,NA,0.630,0.709
42,alleyway,alley,5.156,1.568,32,way,3.433,1.633,30,NA,0.465,0.658
43,allspice,all,2.844,1.568,32,spice,3.281,1.833,32,NA,0.829,0.597
44,alongside,along,5.581,1.311,31,side,4.467,1.814,30,5.57,0.647,0.758
45,altarpiece,altar,4.063,1.645,32,piece,3.226,1.627,31,NA,0.562,0.839
46,alterman,alter,3.387,1.626,31,man,4.094,2.112,32,NA,NA,NA
47,anchorman,anchor,4.226,1.606,31,man,3.800,1.448,30,3.27,0.778,0.787
48,anthill,ant,4.438,2.047,32,hill,4.129,1.544,31,NA,0.541,0.729
49,anybody,any,4.032,1.581,31,body,3.219,2.172,32,NA,0.461,0.773
50,anyhow,any,3.219,1.979,32,how,2.594,1.476,32,NA,0.599,0.600
51,anymore,any,3.750,1.704,32,more,2.935,1.914,31,NA,0.494,0.583
52,anyone,any,4.031,1.823,32,one,3.200,1.769,30,NA,0.457,0.476
53,anyplace,any,4.097,1.660,31,place,4.097,1.700,31,NA,0.708,0.641
54,anything,any,4.813,1.712,32,thing,4.097,1.769,31,NA,0.438,0.423
55,anyway,any,3.031,1.636,32,way,2.387,1.569,31,NA,0.481,0.419
56,anywhere,any,3.469,1.759,32,where,3.645,1.512,31,NA,0.545,0.337
57,archtype,arch,3.250,1.778,32,type,3.516,1.730,31,NA,NA,NA
58,archway,arch,3.781,1.845,32,way,3.355,1.603,31,NA,0.615,0.738
59,arclike,arc,4.031,1.787,32,like,2.800,1.297,30,NA,NA,NA
60,armband,arm,4.438,1.865,32,band,3.581,2.078,31,NA,0.768,0.884
61,armchair,arm,3.548,1.859,31,chair,5.258,1.460,31,NA,0.868,0.597
62,armhole,arm,3.781,1.718,32,hole,3.677,1.887,31,NA,0.642,0.813
63,armload,arm,3.344,1.734,32,load,4.000,1.912,30,NA,0.706,0.781
64,armpit,arm,4.938,1.813,32,pit,3.100,1.826,30,NA,0.582,0.770
65,arrowhead,arrow,5.065,1.459,31,head,3.133,1.383,30,NA,0.573,0.923
66,arrowroot,arrow,3.313,1.655,32,root,3.517,1.639,29,NA,0.910,0.745
67,ashtray,ash,4.594,1.965,32,tray,4.833,1.440,30,NA,0.608,0.609
68,asshole,ass,4.688,2.348,32,hole,3.833,1.949,30,NA,0.390,0.624
69,audiovisual,audio,4.613,1.202,31,visual,4.688,1.603,32,NA,0.623,0.629
70,authorship,author,4.968,1.378,31,ship,1.968,1.570,31,NA,0.572,0.974
71,autograph,auto,2.645,1.582,31,graph,2.094,1.251,32,NA,0.905,0.860
72,awesome,awe,4.533,1.570,30,some,1.344,0.702,32,3.21,0.693,0.676
73,awestruck,awe,4.844,1.969,32,struck,3.667,1.688,30,5.00,0.620,0.740
74,babyhood,baby,5.581,1.205,31,hood,1.750,1.086,32,NA,0.596,0.880
75,backache,back,4.844,1.609,32,ache,5.387,1.520,31,6.43,0.723,0.525
76,backbend,back,3.677,1.492,31,bend,3.094,1.741,32,NA,0.691,0.823
77,backboard,back,3.774,1.726,31,board,4.200,1.955,30,NA,0.727,0.871
78,backbone,back,4.645,1.664,31,bone,5.000,1.880,31,6.29,0.974,0.804
79,backdoor,back,4.531,1.849,32,door,4.567,1.633,30,NA,0.837,0.750
80,backdrop,back,3.844,1.687,32,drop,2.613,1.626,31,3.46,0.937,0.924
81,backfire,back,3.406,1.847,32,fire,3.300,1.841,30,3.64,0.831,0.801
82,background,back,3.906,1.573,32,ground,2.967,1.829,30,3.50,0.838,0.845
83,backhand,back,3.594,1.701,32,hand,3.400,1.610,30,4.86,0.799,0.701
